epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.920309,0.3275,1.684262,0.421166,0.001,14.8842
2,1.586992,0.448333,1.3992,0.559395,0.001,39.1216
3,1.359246,0.549167,1.321884,0.542117,0.001,1.3814
4,1.221044,0.615833,1.276326,0.578834,0.001,1.3301
5,1.049429,0.684167,1.190342,0.589633,0.001,1.3704
6,0.945982,0.703333,1.30687,0.591793,0.001,1.3602
7,0.852514,0.748333,1.136308,0.604752,0.001,1.4117
8,0.727744,0.789167,1.401525,0.507559,0.001,1.3431
9,0.666399,0.813333,1.319991,0.535637,0.001,1.3487
10,0.63436,0.823333,1.33295,0.587473,0.0005,1.3226
11,0.526891,0.855,1.037388,0.688985,0.0005,1.4148
12,0.471018,0.865,1.068865,0.665227,0.0005,1.4533
