epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.996021,0.284167,1.873897,0.280778,0.001,18.6389
2,1.572472,0.505833,1.609957,0.449244,0.001,38.8658
3,1.207718,0.648333,1.477912,0.477322,0.001,1.362
4,0.94689,0.7425,1.740266,0.473002,0.001,1.3473
5,0.700333,0.8325,1.446746,0.516199,0.001,1.3118
6,0.520612,0.903333,1.547892,0.4946,0.001,1.3404
7,0.398048,0.939167,1.570476,0.5054,0.001,1.3497
8,0.306122,0.954167,1.640341,0.49676,0.0005,1.3346
9,0.202989,0.975833,1.328079,0.585313,0.0005,1.3039
10,0.162876,0.984167,1.378426,0.585313,0.0005,1.3243
11,0.139434,0.986667,1.515496,0.561555,0.0005,1.3627
12,0.119926,0.991667,1.701117,0.50324,0.00025,1.3487
